,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
2666,133.98,0.96,14,14,15,15,40.66140121585889,1796.68400340847,AAPL_180-255
2667,133.98,-8.3,17,17,16,16,137.49229019436186,1796.68400340847,AAPL_230-190
2668,133.98,-7.73,15,15,14,14,136.61845635430709,1796.68400340847,AAPL_240-105
2669,133.98,-1.96,12,12,13,13,63.85522270071122,1796.68400340847,AAPL_195-275
2670,133.98,-2.13,25,25,24,24,51.27450748562652,1796.68400340847,AAPL_250-15
2671,133.98,-3.16,16,16,17,17,88.732156153207,1796.68400340847,AAPL_155-235
2672,133.98,-3.74,11,11,12,12,56.29296053805706,1796.68400340847,AAPL_220-295
2673,133.98,-13.49,24,24,21,21,208.2005632154249,1796.68400340847,AAPL_205-180
2674,133.98,-5.51,27,27,26,26,137.54587946493214,1796.68400340847,AAPL_150-40
2675,133.98,-11.89,21,21,20,20,199.257325262003,1796.68400340847,AAPL_175-45
2676,133.98,-12.99,17,17,16,16,189.675171028235,1796.68400340847,AAPL_190-70
2677,133.98,-8.32,25,25,24,24,130.88519068681404,1796.68400340847,AAPL_165-140
2678,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_140-140
2679,133.98,-5.84,14,14,14,14,101.93033200392462,1796.68400340847,AAPL_130-235
2680,133.98,-5.98,13,13,14,14,70.19546417378871,1796.68400340847,AAPL_180-260
2681,133.98,-10.77,20,20,19,19,175.10509554379027,1796.68400340847,AAPL_250-20
2682,133.98,-3.79,16,16,15,15,69.90419009052654,1796.68400340847,AAPL_215-95
2683,133.98,-3.71,15,15,16,16,53.64632480144255,1796.68400340847,AAPL_155-240
2684,133.98,-4.65,14,14,13,13,72.79877850840923,1796.68400340847,AAPL_240-110
2685,133.98,-0.72,12,12,13,13,34.37992199064475,1796.68400340847,AAPL_195-280
2686,133.98,-7.01,17,17,16,16,123.8566265185089,1796.68400340847,AAPL_230-195
2687,133.98,-8.64,26,26,25,25,128.70343957277788,1796.68400340847,AAPL_150-45
2688,133.98,-8.32,20,20,19,19,134.11588036855943,1796.68400340847,AAPL_175-50
2689,133.98,-10.18,25,25,24,24,174.32228029739412,1796.68400340847,AAPL_205-185
2690,133.98,-4.71,10,10,10,10,81.4592085435814,1796.68400340847,AAPL_220-300
2691,133.98,-21.88,60,60,58,58,355.1021754609983,1796.68400340847,AAPL_140-145
2692,133.98,-2.21,17,17,16,16,49.721036364912095,1796.68400340847,AAPL_190-75
2693,133.98,-9.5,25,25,24,24,180.14166412160822,1796.68400340847,AAPL_165-145
2694,133.98,-3.26,13,13,14,14,62.216693205671774,1796.68400340847,AAPL_180-265
2695,133.98,-4.61,13,13,14,14,79.19761749222077,1796.68400340847,AAPL_130-240
2696,133.98,-9.1,15,15,16,16,156.17947636376968,1796.68400340847,AAPL_155-245
2697,133.98,-5.04,19,19,18,18,112.07529679531926,1796.68400340847,AAPL_250-25
2698,133.98,-0.94,17,17,16,16,36.01794349666355,1796.68400340847,AAPL_215-100
2699,133.98,-8.68,19,19,18,18,150.11531528725564,1796.68400340847,AAPL_175-55
2700,133.98,-4.54,11,11,12,12,60.10306071763916,1796.68400340847,AAPL_195-285
2701,133.98,-7.28,23,23,22,22,107.40515782300486,1796.68400340847,AAPL_150-50
2702,133.98,-5.99,14,14,13,13,120.94276474667222,1796.68400340847,AAPL_240-115
2703,133.98,-7.93,20,20,19,19,151.38527919649394,1796.68400340847,AAPL_230-200
2704,133.98,-10.79,31,31,30,30,196.2642990276848,1796.68400340847,AAPL_205-190
2705,133.98,-10.77,38,38,37,37,208.48705850177296,1796.68400340847,AAPL_140-150
2706,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_225-0
2707,133.98,-12.03,31,31,30,30,158.17845895276747,1796.68400340847,AAPL_165-150
2708,133.98,-5.97,17,17,16,16,132.5408938684904,1796.68400340847,AAPL_190-80
2709,133.98,-5.78,12,12,13,13,95.63357744357188,1796.68400340847,AAPL_130-245
2710,133.98,-4.99,11,11,12,12,83.87519637794973,1796.68400340847,AAPL_180-270
2711,133.98,-10.22,15,15,15,15,178.48140674462763,1796.68400340847,AAPL_155-250
2712,133.98,-12.76,23,23,22,22,185.00881347825649,1796.68400340847,AAPL_150-55
2713,133.98,-11.32,20,20,19,19,176.75510934131074,1796.68400340847,AAPL_175-60
2714,133.98,-7.23,20,20,19,19,122.9772851545168,1796.68400340847,AAPL_250-30
2715,133.98,-10.16,16,16,15,15,169.79701562465743,1796.68400340847,AAPL_215-105
2716,133.98,-0.47,9,9,10,10,36.29542262411948,1796.68400340847,AAPL_195-290
2717,133.98,-5.41,14,14,13,13,95.83913969223136,1796.68400340847,AAPL_240-120
2718,133.98,-9.37,22,22,20,20,119.23075862096054,1796.68400340847,AAPL_230-205
2719,133.98,-13.13,33,33,32,32,227.47086189629985,1796.68400340847,AAPL_205-195
2720,133.98,-14.71,41,41,35,35,201.443034415433,1796.68400340847,AAPL_225-5
2721,133.98,-8.63,33,33,33,33,166.24339445668912,1796.68400340847,AAPL_140-155
2722,133.98,-8.84,14,14,15,15,127.12700197189602,1796.68400340847,AAPL_155-255
2723,133.98,-15.41,35,35,34,34,209.6464724628313,1796.68400340847,AAPL_165-155
2724,133.98,-1.31,17,17,16,16,61.73704901017856,1796.68400340847,AAPL_190-85
2725,133.98,-4.85,11,11,12,12,103.27587238422502,1796.68400340847,AAPL_180-275
2726,133.98,-9.09,22,22,21,21,147.80766543123374,1796.68400340847,AAPL_150-60
2727,133.98,-8.69,19,19,18,18,147.98890595289964,1796.68400340847,AAPL_175-65
2728,133.98,-4.65,12,12,13,13,114.55620901478096,1796.68400340847,AAPL_130-250
2729,133.98,-4.83,8,8,9,9,55.12603389205562,1796.68400340847,AAPL_195-295
2730,133.98,-8.87,19,19,18,18,139.05174512371264,1796.68400340847,AAPL_250-35
2731,133.98,-4.23,13,13,12,12,67.51052425329185,1796.68400340847,AAPL_240-125
