,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
359,54-67,73.175,-0.07125000000000015,54,67
360,54-68,73.175,-0.1399999999999998,54,68
361,54-69,73.175,-0.07999999999999974,54,69
362,54-7,73.175,60.335,54,7
363,54-70,73.175,0.04750000000000021,54,70
364,54-71,73.175,-0.01375000000000004,54,71
365,54-72,73.175,0.15500000000000014,54,72
366,54-73,73.175,0.42374999999999996,54,73
367,54-74,73.175,0.6375000000000005,54,74
368,54-8,73.175,62.76625,54,8
369,54-9,73.175,64.5,54,9
370,55-1,73.175,55.11375,55,1
371,55-10,73.175,67.16,55,10
372,55-11,73.175,69.345,55,11
373,55-12,73.175,67.50750000000001,55,12
374,55-13,73.175,68.65875,55,13
375,55-14,73.175,70.37625,55,14
376,55-15,73.175,71.29125,55,15
377,55-16,73.175,68.4525,55,16
378,55-17,73.175,71.91375,55,17
379,55-18,73.175,72.0625,55,18
380,55-19,73.175,74.1725,55,19
381,55-2,73.175,55.2125,55,2
382,55-20,73.175,73.33875,55,20
383,55-21,73.175,71.3625,55,21
384,55-22,73.175,74.68375,55,22
385,55-23,73.175,74.22375,55,23
386,55-24,73.175,73.05,55,24
387,55-25,73.175,72.9,55,25
388,55-26,73.175,71.01375,55,26
389,55-27,73.175,70.78125,55,27
390,55-28,73.175,69.23875,55,28
391,55-29,73.175,69.41,55,29
392,55-3,73.175,55.5925,55,3
393,55-30,73.175,71.51,55,30
394,55-31,73.175,71.88625,55,31
395,55-32,73.175,72.7775,55,32
396,55-33,73.175,74.17625,55,33
397,55-34,73.175,70.935,55,34
398,55-35,73.175,74.32875,55,35
399,55-36,73.175,80.8275,55,36
400,55-37,73.175,81.6675,55,37
401,55-38,73.175,80.93875,55,38
402,55-39,73.175,76.99125,55,39
403,55-4,73.175,62.305,55,4
404,55-40,73.175,76.1775,55,40
405,55-41,73.175,77.58,55,41
406,55-42,73.175,74.385,55,42
407,55-43,73.175,73.89125,55,43
408,55-44,73.175,73.8775,55,44
